Berserk 1-15 | Kentaro Miura
Fear and Trembling and the Sickness Unto Death | Soren Kierkegaard
The Brothers Karamazov | Fyodor Dostoyevsky
The Republic | Plato
The Subterraneans | Jack Kerouac
Hindu Myths | Penguin Classics
Four Existentialist Theologians | Will Herberg
The Canterbury Tales | Geoffrey Chaucer
Notes from the Underground, The Double and Other Stories | Fyodor Dostoyevsky
Kingsor’s Last Summer | Hermann Hesse
Magister Ludi (The Glass Bead Game) | Hermann Hesse
Rosshalde | Hermann Hesse
Steppenwolf | Hermann Hesse
Zen and the Art of Motorcycle Maintenance | Robert M. Pirsig
Demian | Hermann Hesse
The Scarlet Letter | Nathaniel Hawthorne
The Birth of Tragedy and the Genealogy of Morals | Friedrich Nietzsche
Wampeters, Foma & Granfalloons | Kurt Vonnegut
The Communist Manifest | Karl Marx & Friedrich Engels
Sundiata: An Epic of Old Mali | Niane
Twilight of the Idols/The Antichrist | Friedrich Nietzsche
Faust | Goethe
Paradise Lost | Milton
Nietzsche | The Viking Portable Library
The Golden Bough | Frazer
Demons | Fyodor Dostoyevsky
The Penal Colony | Franz Kafka
America | Franz Kafka
The Trial | Franz Kafka
The Castle | Franz Kafka
Kafa The Complete Stories | Schoken Books
The Basic Work of Aristotle | The Modern Library
On the Genealogy of Morals and Ecce Homo | Friedrich Nietzsche
The Complete Greek Tragedies/Sophocles | Grene and Lattimore Editors
Groundwork of the Metaphysic of Morals | Kant
The Stranger | Albert Camus
The Myth of Sisyphus and other essays | Albert Camus
The Birth of Tragedy | Friedrich Nietzsche
The Brothers Karamazov | Fyodor Dostoyevsky
Consider Phlebas | Iain M. Banks
Ain’t I A Woman, black women and feminism | Bell Hooks
A Self-Portrait in Letters | Anne Sexton
The Methods of Ethics | Sidgwick
Utilitarianism and On Liberty | Bell
Buddhist Philosophy | Edelglass & Garfield
